1,1,1,1,1,428,463,891
1,1,1,1,2,86,90,176
1,1,1,2,1,66,53,119
1,1,1,2,2,45,61,106
1,1,2,1,1,46,65,111
1,1,2,1,2,23,37,60
1,1,2,2,1,22,30,52
1,1,2,2,2,46,46,92
1,2,1,1,1,56,64,120
1,2,1,1,2,22,42,64
1,2,1,2,1,23,28,51
1,2,1,2,2,31,36,67
1,2,2,1,1,29,25,54
1,2,2,1,2,22,28,50
1,2,2,2,1,20,29,49
1,2,2,2,2,75,101,176
2,1,1,1,1,109,128,237
2,1,1,1,2,53,54,107
2,1,1,2,1,27,41,68
2,1,1,2,2,56,51,107
2,1,2,1,1,37,43,80
2,1,2,1,2,41,34,75
2,1,2,2,1,18,33,51
2,1,2,2,2,98,102,200
2,2,1,1,1,73,63,136
2,2,1,1,2,53,42,95
2,2,1,2,1,30,34,64
2,2,1,2,2,84,103,187
2,2,2,1,1,49,50,99
2,2,2,1,2,65,100,165
2,2,2,2,1,81,91,172
2,2,2,2,2,512,554,1066